PO_ID,Supplier_ID,Raw_Material_ID,Order_Date,Order_Quantity,Unit_Cost,Delivery_Date_Planned,Delivery_Date_Actual,Total_Cost
PO000001,SUP00059,PROD00116,2024-03-19,10,42.34502281180546,2024-04-02,2024-04-03,423.45022811805455
PO000002,SUP00085,PROD00153,2021-06-24,5,74.80568738073421,2021-07-04,2021-07-07,374.02843690367104
PO000003,SUP00097,PROD00170,2023-08-16,11,76.08011907464055,2023-09-02,2023-09-06,836.881309821046
PO000004,SUP00023,PROD00016,2023-05-01,7,64.15784385111667,2023-05-17,2023-05-14,449.10490695781664
PO000005,SUP00048,PROD00041,2022-10-31,10,53.179120934017845,2022-11-24,2022-11-24,531.7912093401785
PO000006,SUP00024,PROD00182,2022-07-12,8,73.19428939129425,2022-07-29,2022-08-01,585.554315130354
PO000007,SUP00025,PROD00072,2021-11-09,9,72.03959873038248,2021-11-29,2021-11-30,648.3563885734424
PO000008,SUP00039,PROD00181,2023-12-08,11,55.47708198422602,2023-12-18,2023-12-24,610.2479018264862
PO000009,SUP00018,PROD00077,2022-04-23,10,38.26326986672404,2022-05-10,2022-05-08,382.6326986672404
PO000010,SUP00090,PROD00115,2021-02-26,8,72.62936053885254,2021-03-09,2021-03-13,581.0348843108203
PO000011,SUP00077,PROD00105,2021-07-16,16,74.91072502947267,2021-07-31,2021-08-06,1198.5716004715628
PO000012,SUP00075,PROD00039,2023-02-19,13,47.362314027756284,2023-03-14,2023-03-15,615.7100823608317
PO000013,SUP00068,PROD00117,2021-12-19,11,65.64285636569372,2021-12-30,2022-01-01,722.071420022631
PO000014,SUP00056,PROD00045,2022-01-09,9,78.90438991831371,2022-01-29,2022-02-02,710.1395092648233
PO000015,SUP00087,PROD00140,2022-10-25,9,49.99051446828101,2022-11-18,2022-11-23,449.9146302145291
PO000016,SUP00032,PROD00092,2023-05-16,16,53.41542305642662,2023-05-27,2023-05-25,854.6467689028259
PO000017,SUP00065,PROD00059,2021-10-02,11,69.11456957548035,2021-10-13,2021-10-14,760.2602653302838
PO000018,SUP00005,PROD00102,2022-05-18,11,61.20183512075288,2022-06-09,2022-06-08,673.2201863282817
PO000019,SUP00053,PROD00079,2023-06-18,9,68.5678302034437,2023-06-30,2023-07-02,617.1104718309933
PO000020,SUP00021,PROD00118,2022-02-18,13,63.63229455544259,2022-03-03,2022-03-02,827.2198292207537
PO000021,SUP00093,PROD00044,2024-02-19,9,63.44291242267121,2024-03-14,2024-03-16,570.986211804041
PO000022,SUP00044,PROD00184,2023-09-10,12,69.58427485160747,2023-10-02,2023-10-02,835.0112982192898
PO000023,SUP00067,PROD00050,2023-12-04,15,76.46249346616742,2023-12-23,2023-12-21,1146.9374019925112
PO000024,SUP00043,PROD00132,2022-04-01,8,49.06476052291695,2022-04-23,2022-04-27,392.5180841833356
PO000025,SUP00020,PROD00128,2024-03-17,13,15.439558053438969,2024-03-30,2024-04-01,200.7142546947066
PO000026,SUP00007,PROD00185,2023-12-17,11,68.51347246680035,2024-01-10,2024-01-16,753.6481971348039
PO000027,SUP00035,PROD00048,2023-10-21,12,70.9446732798559,2023-11-02,2023-11-07,851.3360793582708
PO000028,SUP00096,PROD00080,2024-04-01,9,32.25808688013568,2024-04-12,2024-04-15,290.3227819212211
PO000029,SUP00090,PROD00055,2022-10-03,7,8.323155581150232,2022-10-23,2022-10-26,58.26208906805162
PO000030,SUP00092,PROD00138,2023-08-31,13,27.203427496926224,2023-09-16,2023-09-20,353.6445574600409
PO000031,SUP00004,PROD00038,2024-02-09,12,17.68668027178875,2024-02-29,2024-03-01,212.240163261465
PO000032,SUP00021,PROD00074,2021-08-21,11,17.68158240884258,2021-09-11,2021-09-11,194.49740649726837
PO000033,SUP00030,PROD00157,2021-06-16,19,32.601286572435086,2021-07-07,2021-07-10,619.4244448762666
PO000034,SUP00024,PROD00198,2023-07-14,8,32.85634895591337,2023-07-26,2023-07-24,262.85079164730695
PO000035,SUP00063,PROD00040,2022-01-21,11,18.562488202935064,2022-02-13,2022-02-19,204.1873702322857
PO000036,SUP00024,PROD00162,2022-09-19,15,25.23241133362962,2022-10-05,2022-10-03,378.4861700044443
PO000037,SUP00013,PROD00154,2021-11-09,19,70.13852091806665,2021-11-28,2021-11-27,1332.6318974432663
PO000038,SUP00021,PROD00006,2024-03-03,16,78.09998563144346,2024-03-23,2024-03-23,1249.5997701030954
PO000039,SUP00070,PROD00154,2022-05-31,11,46.250429069184804,2022-06-15,2022-06-17,508.75471976103285
PO000040,SUP00031,PROD00186,2023-11-20,10,68.63144953104552,2023-12-14,2023-12-15,686.3144953104552
PO000041,SUP00038,PROD00103,2022-11-14,12,33.13383567021192,2022-12-06,2022-12-09,397.6060280425431
PO000042,SUP00084,PROD00169,2021-06-08,10,22.46878594364739,2021-06-21,2021-06-25,224.6878594364739
PO000043,SUP00001,PROD00014,2021-01-26,13,20.479569020345302,2021-02-05,2021-02-04,266.2343972644889
PO000044,SUP00038,PROD00098,2021-08-10,11,63.03971369177187,2021-08-28,2021-09-02,693.4368506094906
PO000045,SUP00011,PROD00043,2021-07-11,8,25.418959351541435,2021-07-31,2021-07-29,203.35167481233148
PO000046,SUP00011,PROD00127,2023-07-30,8,43.056329316659976,2023-08-20,2023-08-24,344.4506345332798
PO000047,SUP00098,PROD00172,2022-01-14,15,23.319825192023817,2022-02-03,2022-02-02,349.79737788035726
PO000048,SUP00016,PROD00046,2023-05-13,13,44.61725074955354,2023-05-30,2023-06-05,580.024259744196
PO000049,SUP00065,PROD00042,2022-01-01,17,7.094258274798331,2022-01-17,2022-01-22,120.60239067157163
PO000050,SUP00093,PROD00038,2023-08-19,6,53.156621331245404,2023-09-06,2023-09-10,318.93972798747245
PO000051,SUP00023,PROD00169,2024-01-16,13,45.28878324261671,2024-02-08,2024-02-14,588.7541821540173
PO000052,SUP00030,PROD00106,2024-03-02,20,9.174836315358053,2024-03-22,2024-03-21,183.49672630716105
PO000053,SUP00056,PROD00097,2021-06-30,8,4.9976941918426405,2021-07-19,2021-07-16,39.981553534741124
PO000054,SUP00036,PROD00012,2021-10-22,10,26.057528118082878,2021-11-02,2021-11-06,260.57528118082877
PO000055,SUP00088,PROD00084,2021-08-28,10,26.250548914885396,2021-09-15,2021-09-19,262.50548914885394
PO000056,SUP00073,PROD00070,2021-05-10,17,24.339096252842616,2021-05-29,2021-05-31,413.7646362983245
PO000057,SUP00024,PROD00034,2023-03-06,18,71.03421846579356,2023-03-27,2023-03-28,1278.615932384284
PO000058,SUP00007,PROD00073,2022-04-06,15,60.10009729446214,2022-04-20,2022-04-22,901.5014594169321
PO000059,SUP00092,PROD00033,2021-02-27,13,37.31123987248561,2021-03-22,2021-03-19,485.0461183423129
PO000060,SUP00083,PROD00075,2023-12-26,12,19.841933590846743,2024-01-18,2024-01-16,238.10320309016092
PO000061,SUP00073,PROD00147,2023-03-09,16,40.25534635367086,2023-03-24,2023-03-21,644.0855416587337
PO000062,SUP00026,PROD00186,2021-09-12,9,54.88752613097918,2021-09-23,2021-09-28,493.9877351788126
PO000063,SUP00100,PROD00020,2023-07-17,11,35.12180742292923,2023-07-30,2023-08-03,386.33988165222155
PO000064,SUP00037,PROD00166,2022-08-15,10,74.938832400096,2022-08-29,2022-08-27,749.38832400096
PO000065,SUP00005,PROD00158,2022-04-09,15,27.425090713952457,2022-05-03,2022-05-08,411.37636070928687
PO000066,SUP00035,PROD00108,2021-05-25,20,17.90581200886712,2021-06-15,2021-06-19,358.1162401773424
