Product_ID,SKU,Product_Name,Category,Subcategory,Unit,Unit_Cost,Standard_Price,Launch_Date,Discontinuation_Date
PROD00001,XAJI0Y6DPB,Gamma Apex Gadget,Food,A,pcs,131.74,198.31,2022-11-18,
PROD00002,HSAHXTHV3A,Ultra Omega Device,Beauty,E,pcs,141.88,339.56,2023-04-13,
PROD00003,3ZMF8MDD4V,Alpha Fusion Gadget,Sport,D,pcs,160.18,187.85,2022-03-16,
PROD00004,30T9NT3W5U,Apex Apex Item,Food,D,pcs,178.55,224.0,2022-01-04,
PROD00005,ZBIKCIDKWN,Fusion Prime Widget,Home,D,pcs,70.91,246.55,2023-10-08,
PROD00006,NHJ7XVG0FN,Nano Apex Item,Sport,D,pcs,78.24,164.54,2022-04-28,
PROD00007,9XUY41IBLJ,Quantum Fusion Device,Sport,D,pcs,23.33,223.37,2023-08-29,
PROD00008,H75LXO6QJI,Eco Ultra Item,Food,C,pcs,117.76,208.67,2023-05-19,
PROD00009,UJV6OH9SDB,Gamma Omega Item,Apparel,B,pcs,12.01,316.39,2023-07-28,
PROD00010,DW2PCN9T84,Gamma Quantum Item,Home,D,pcs,95.79,25.45,2023-03-17,
PROD00011,AZYTJXEPQ8,Delta Vertex Gadget,Food,A,pcs,110.82,105.53,2022-07-13,
PROD00012,5JSG65KXVF,Omega Vertex Gadget,Home,A,pcs,60.88,333.14,2023-12-16,
PROD00013,1T2TALA753,Quantum Prime Widget,Home,A,pcs,120.21,312.69,2023-01-27,
PROD00014,LC58DRC11E,Fusion Ultra Item,Sport,A,pcs,10.95,164.92,2022-01-26,
PROD00015,RTJ5PHT0HL,Fusion Fusion Gadget,Beauty,C,pcs,12.28,220.85,2023-03-11,
PROD00016,9XPSEIMVIH,Ultra Delta Device,Home,A,pcs,165.41,104.31,2022-06-22,
PROD00017,CWI64CIYHE,Delta Nano Widget,Industrial,D,pcs,75.24,73.96,2022-10-27,
PROD00018,7UR23GDPPQ,Pioneer Prime Device,Sport,E,pcs,29.78,167.66,2023-10-07,
PROD00019,0Y9DOM5IGQ,Beta Fusion Gadget,Apparel,A,pcs,106.84,130.14,2022-11-22,
PROD00020,PKI7P5TB94,Alpha Omega Item,Beauty,C,pcs,155.15,208.44,2023-02-14,
PROD00021,874FRHOCN9,Apex Nova Widget,Industrial,C,pcs,47.09,36.43,2022-04-28,
PROD00022,J2QP89UZFK,Vertex Beta Gadget,Industrial,A,pcs,126.46,341.29,2023-12-25,
PROD00023,8UT0CVS4F8,Quantum Quantum Gadget,Apparel,E,pcs,21.64,345.31,2022-08-13,
PROD00024,CGVYIE6IVW,Prime Delta Device,Beauty,A,pcs,15.08,247.37,2023-06-16,
PROD00025,PVS7HZIOYK,Omega Pioneer Widget,Sport,C,pcs,108.61,192.27,2022-04-23,
PROD00026,L1CQ99CHJ7,Delta Pioneer Gadget,Electronics,B,pcs,110.42,115.24,2022-05-20,
PROD00027,55NF4ZW9XA,Eco Beta Item,Beauty,D,pcs,129.3,286.69,2023-07-13,
PROD00028,3KX7EEDTJV,Pioneer Delta Gadget,Apparel,C,pcs,146.59,242.81,2022-01-01,
PROD00029,ZHWJR64DPJ,Ultra Pioneer Gadget,Industrial,A,pcs,195.29,65.29,2022-03-31,
PROD00030,A1WJ0TPAC5,Fusion Nano Device,Sport,D,pcs,105.68,319.72,2023-10-16,
PROD00031,6T4UFEL624,Ultra Prime Device,Beauty,A,pcs,67.98,289.66,2022-11-16,
PROD00032,6HID25OWF7,Omega Omega Device,Electronics,A,pcs,160.06,332.93,2023-07-04,
PROD00033,5935A0L725,Fusion Pioneer Item,Electronics,B,pcs,57.81,256.74,2022-05-19,
PROD00034,3J2D54I3QK,Prime Beta Item,Home,D,pcs,90.6,218.56,2023-05-26,
PROD00035,2IAGL58KXO,Quantum Vertex Device,Home,D,pcs,20.3,152.2,2022-09-16,
PROD00036,9T7E8G8JDP,Pioneer Delta Device,Food,B,pcs,9.94,327.13,2023-11-04,
PROD00037,0LVSNUJZA7,Nano Ultra Widget,Apparel,C,pcs,192.72,304.46,2023-11-21,
PROD00038,TZ0YNCXLL4,Nova Vertex Gadget,Beauty,A,pcs,168.02,25.37,2022-01-10,
PROD00039,ZKLOOKEP7Y,Eco Gamma Widget,Beauty,E,pcs,140.71,18.96,2022-09-18,
PROD00040,6WKTAKPUXQ,Omega Fusion Item,Food,A,pcs,84.75,138.0,2023-10-12,
PROD00041,PHR62GDSWM,Omega Gamma Gadget,Industrial,A,pcs,38.79,285.59,2022-06-21,
PROD00042,31YIHAIR4C,Nano Delta Item,Industrial,C,pcs,35.51,345.67,2022-01-13,
PROD00043,OWGZRIXA11,Nova Vertex Gadget,Food,A,pcs,53.8,61.14,2022-06-17,
PROD00044,DPG8SBI4Q2,Prime Fusion Device,Industrial,B,pcs,112.1,212.0,2023-10-04,
PROD00045,Y9V86WZS3T,Omega Quantum Item,Home,B,pcs,144.35,139.5,2023-08-19,
PROD00046,60RJIW1SWJ,Eco Apex Item,Beauty,D,pcs,133.74,339.77,2022-11-17,
PROD00047,CKJLTEIYZC,Prime Gamma Device,Food,E,pcs,59.59,296.32,2022-11-15,
PROD00048,OTOHP6VZ41,Gamma Gamma Item,Beauty,A,pcs,191.2,295.03,2023-09-05,
PROD00049,NAM148P0TV,Gamma Pioneer Widget,Electronics,A,pcs,148.89,169.36,2022-11-25,
PROD00050,HHPBMYOFQE,Fusion Alpha Widget,Home,C,pcs,113.1,151.04,2023-07-04,
PROD00051,WAOUAXEQBN,Vertex Apex Widget,Sport,B,pcs,124.29,102.96,2023-02-23,
PROD00052,HL1N13JCAT,Quantum Alpha Item,Home,E,pcs,86.82,29.17,2023-08-29,
PROD00053,9MX2X18HAF,Gamma Vertex Gadget,Food,D,pcs,53.31,304.01,2022-04-05,
PROD00054,EYUHZ1GV0E,Beta Eco Gadget,Sport,B,pcs,74.41,286.39,2023-08-04,
PROD00055,38DALY8OZC,Alpha Delta Item,Electronics,D,pcs,152.78,349.9,2022-11-14,
PROD00056,YWD14VE92M,Nano Alpha Item,Food,C,pcs,7.81,348.86,2022-08-24,
PROD00057,PNSM43D8W3,Apex Prime Widget,Apparel,C,pcs,27.63,198.85,2022-11-30,
PROD00058,ZP08J3TRP0,Alpha Fusion Item,Beauty,A,pcs,13.97,271.46,2023-01-11,
PROD00059,J43D5IQVNB,Alpha Alpha Device,Electronics,E,pcs,12.94,331.22,2023-04-04,
PROD00060,4GH2M5ZJA8,Fusion Omega Widget,Beauty,D,pcs,171.81,298.88,2022-05-17,
