
Order_ID,Customer_ID,Product_ID,Order_Date,Order_Status,Order_Quantity,Unit_Price,Discount,Shipping_Mode,Shipping_Carrier,Shipping_Date_Scheduled,Shipping_Date_Actual,Delivery_Status,Late_Delivery_Risk_Flag,VAT_Rate,COGS,Unit_Price_Effective,Order_Total,VAT_Amount,Profit_Per_Order
ORD0000001,CUST00481,PROD00135,2023-06-16,Completed,8,200.54,0.12,Standard,CarrierA,2023-06-21,2023-06-21,On Time,0,0.19,1510.96,176.4752,1411.8016,268.242304,-99.15840000000003
ORD0000002,CUST00111,PROD00147,2023-09-23,Pending,3,220.96,0.18,Same Day,CarrierB,2023-09-26,2023-09-26,On Time,0,0.2,371.61,181.18720000000002,543.5616,108.71232,171.95159999999998
ORD0000003,CUST00104,PROD00172,2022-12-17,Cancelled,2,15.87,0.09,Economy,CarrierD,2022-12-18,2022-12-20,Late,1,0.2,16.46,14.441699999999999,28.883399999999998,5.77668,12.423399999999997
ORD0000004,CUST00316,PROD00063,2023-10-11,Pending,7,191.91,0.06,Express,CarrierC,2023-10-15,2023-10-19,Late,1,0.0,1166.2,180.3954,1262.7678,0.0,96.56780000000003
ORD0000005,CUST00171,PROD00065,2022-10-04,Completed,6,192.0,0.19,Same Day,CarrierB,2022-10-05,2022-10-05,On Time,0,0.2,358.68,155.52,933.1200000000001,186.62400000000002,574.44
ORD0000006,CUST00460,PROD00039,2022-09-12,Completed,6,237.02,0.12,Express,CarrierC,2022-09-13,2022-09-13,On Time,0,0.21,830.58,208.57760000000002,1251.4656,262.807776,420.88559999999995
ORD0000007,CUST00492,PROD00109,2022-09-21,Completed,5,169.92,0.21,Express,CarrierC,2022-09-24,2022-09-28,Late,1,0.21,248.1,134.2368,671.184,140.94863999999998,423.08399999999995
ORD0000008,CUST00356,PROD00026,2023-11-10,Completed,12,198.49,0.01,Economy,CarrierE,2023-11-15,2023-11-17,Late,1,0.25,1897.3200000000002,196.5051,2358.0612,589.5153,460.74119999999994
ORD0000009,CUST00496,PROD00172,2023-11-08,Completed,6,15.87,0.03,Economy,CarrierE,2023-11-11,2023-11-11,On Time,0,0.18,49.38,15.393899999999999,92.36339999999998,16.625411999999997,42.98339999999998
ORD0000010,CUST00324,PROD00012,2022-01-29,Completed,8,299.45,0.1,Standard,CarrierA,2022-02-02,2022-02-06,Late,1,0.21,1553.04,269.505,2156.04,452.7684,603.0
ORD0000011,CUST00133,PROD00150,2023-04-12,Completed,7,155.09,0.08,Same Day,CarrierA,2023-04-14,2023-04-14,On Time,0,0.1,415.38,142.68280000000001,998.7796000000001,99.87796000000002,583.3996000000001
ORD0000012,CUST00376,PROD00077,2022-02-04,Completed,7,276.15,0.01,Same Day,CarrierB,2022-02-06,2022-02-07,Late,1,0.18,1087.8,273.38849999999996,1913.7194999999997,344.46950999999996,825.9194999999997
ORD0000013,CUST00293,PROD00142,2024-01-19,Completed,3,127.75,0.07,Same Day,CarrierB,2024-01-22,2024-01-23,Late,1,0.2,162.3,118.80749999999999,356.42249999999996,71.2845,194.12249999999995
ORD0000014,CUST00328,PROD00086,2022-10-21,Pending,3,78.62,0.12,Economy,CarrierE,2022-10-25,2022-10-28,Late,1,0.1,205.23,69.18560000000001,207.5568,20.75568,2.32680000000002
ORD0000015,CUST00127,PROD00030,2023-08-25,Completed,8,110.58,0.18,Economy,CarrierC,2023-08-26,2023-08-26,On Time,0,0.19,112.48,90.6756,725.4048,137.826912,612.9248
ORD0000016,CUST00106,PROD00172,2022-07-22,Completed,5,15.87,0.06,Express,CarrierB,2022-07-25,2022-07-28,Late,1,0.1,41.150000000000006,14.917799999999998,74.58899999999998,7.458899999999999,33.43899999999998
ORD0000017,CUST00497,PROD00166,2024-01-10,Completed,4,228.86,0.2,Same Day,CarrierD,2024-01-12,2024-01-15,Late,1,0.18,671.52,183.08800000000002,732.3520000000001,131.82336,60.83200000000011
ORD0000018,CUST00092,PROD00187,2024-07-19,Completed,7,210.26,0.21,Express,CarrierA,2024-07-24,2024-07-27,Late,1,0.19,1150.52,166.1054,1162.7378,220.920182,12.217800000000125
ORD0000019,CUST00287,PROD00170,2022-03-09,Pending,8,135.28,0.06,Same Day,CarrierE,2022-03-15,2022-03-15,On Time,0,0.22,961.76,127.16319999999999,1017.3055999999999,223.80723199999997,55.54559999999992
ORD0000020,CUST00378,PROD00052,2022-05-11,Completed,3,216.99,0.1,Same Day,CarrierB,2022-05-14,2022-05-17,Late,1,0.2,468.45000000000005,195.29100000000003,585.873,117.17460000000001,117.423
ORD0000021,CUST00393,PROD00063,2024-05-26,Completed,2,191.91,0.24,Standard,CarrierE,2024-06-01,2024-06-04,Late,1,0.25,333.2,145.8516,291.7032,72.9258,-41.49680000000001
ORD0000022,CUST00051,PROD00189,2022-04-21,Completed,4,222.12,0.15,Standard,CarrierC,2022-04-22,2022-04-22,On Time,0,0.21,433.12,188.802,755.208,158.59367999999998,322.08799999999997
ORD0000023,CUST00029,PROD00120,2023-06-08,Pending,2,151.46,0.11,Express,CarrierA,2023-06-10,2023-06-12,Late,1,0.18,220.34,134.79940000000002,269.59880000000004,48.527784000000004,49.258800000000036
ORD0000024,CUST00462,PROD00105,2022-10-15,Completed,5,292.26,0.17,Standard,CarrierA,2022-10-18,2022-10-20,Late,1,0.25,909.9,242.5758,1212.879,303.21975,302.9789999999999
ORD0000025,CUST00296,PROD00162,2023-11-18,Completed,1,226.58,0.1,Same Day,CarrierB,2023-11-24,2023-11-27,Late,1,0.22,128.3,203.92200000000003,203.92200000000003,44.862840000000006,75.62200000000001
ORD0000026,CUST00297,PROD00039,2024-04-10,Completed,4,237.02,0.25,Economy,CarrierD,2024-04-15,2024-04-16,Late,1,0.2,553.72,177.76500000000001,711.0600000000001,142.21200000000002,157.34000000000003
ORD0000027,CUST00214,PROD00041,2023-10-28,Completed,3,170.17,0.01,Standard,CarrierC,2023-10-30,2023-11-02,Late,1,0.1,86.4,168.4683,505.4049,50.540490000000005,419.0049
ORD0000028,CUST00267,PROD00121,2022-02-12,Completed,3,247.09,0.03,Economy,CarrierC,2022-02-13,2022-02-15,Late,1,0.1,487.34999999999997,239.6773,719.0319,71.90319,231.68189999999998
ORD0000029,CUST00407,PROD00108,2024-05-24,Pending,4,204.16,0.19,Standard,CarrierE,2024-05-30,2024-06-01,Late,1,0.1,609.32,165.36960000000002,661.4784000000001,66.14784000000002,52.15840000000003
ORD0000030,CUST00257,PROD00165,2023-12-18,Completed,8,164.12,0.2,Economy,CarrierC,2023-12-24,2023-12-26,Late,1,0.25,180.88,131.29600000000002,1050.3680000000002,262.59200000000004,869.4880000000002
ORD0000031,CUST00302,PROD00065,2023-11-15,Completed,4,192.0,0.13,Economy,CarrierA,2023-11-19,2023-11-20,Late,1,0.22,239.12,167.04,668.16,146.99519999999998,429.03999999999996
ORD0000032,CUST00101,PROD00118,2022-10-21,Cancelled,5,71.51,0.07,Standard,CarrierB,2022-10-22,2022-10-26,Late,1,0.2,206.9,66.5043,332.5215,66.5043,125.6215
ORD0000033,CUST00405,PROD00079,2022-10-12,Completed,9,181.69,0.18,Economy,CarrierD,2022-10-15,2022-10-15,On Time,0,0.2,674.1,148.9858,1340.8722,268.17444,666.7722
ORD0000034,CUST00346,PROD00160,2024-04-02,Completed,2,235.44,0.05,Express,CarrierD,2024-04-06,2024-04-08,Late,1,0.1,294.0,223.66799999999998,447.33599999999996,44.733599999999996,153.33599999999996
ORD0000035,CUST00110,PROD00008,2023-07-18,Completed,6,275.11,0.06,Standard,CarrierE,2023-07-21,2023-07-21,On Time,0,0.1,1043.4,258.6034,1551.6204000000002,155.16204000000005,508.22040000000015
ORD0000036,CUST00420,PROD00097,2023-09-19,Completed,3,223.58,0.2,Express,CarrierA,2023-09-23,2023-09-25,Late,1,0.2,320.79,178.86400000000003,536.5920000000001,107.31840000000003,215.80200000000008
ORD0000037,CUST00182,PROD00018,2022-01-19,Completed,9,220.57,0.17,Express,CarrierC,2022-01-23,2022-01-23,On Time,0,0.1,965.97,183.07309999999998,1647.6579,164.76579,681.6878999999999
ORD0000038,CUST00471,PROD00173,2023-05-22,Completed,10,123.55,0.14,Same Day,CarrierD,2023-05-23,2023-05-24,Late,1,0.18,1048.6,106.253,1062.53,191.25539999999998,13.930000000000064
ORD0000039,CUST00313,PROD00096,2023-07-01,Completed,6,182.02,0.04,Standard,CarrierD,2023-07-02,2023-07-03,Late,1,0.0,607.74,174.7392,1048.4352000000001,0.0,440.6952000000001
ORD0000040,CUST00001,PROD00033,2022-02-17,Completed,4,106.34,0.21,Same Day,CarrierD,2022-02-18,2022-02-20,Late,1,0.1,70.76,84.0086,336.0344,33.60344,265.2744
ORD0000041,CUST00319,PROD00005,2024-01-15,Pending,2,128.35,0.02,Standard,CarrierC,2024-01-16,2024-01-20,Late,1,0.25,70.84,125.78299999999999,251.56599999999997,62.89149999999999,180.72599999999997
ORD0000042,CUST00438,PROD00127,2022-08-07,Completed,10,249.89,0.16,Express,CarrierE,2022-08-12,2022-08-15,Late,1,0.25,1645.1,209.90759999999997,2099.0759999999996,524.7689999999999,453.97599999999966
ORD0000043,CUST00055,PROD00074,2023-09-14,Cancelled,5,301.43,0.19,Same Day,CarrierB,2023-09-16,2023-09-19,Late,1,0.21,820.05,244.15830000000003,1220.7915,256.366215,400.7415000000001
