Category,Significant,Elasticity,P_Value,Current_Discount,Optimal_Discount,Current_Profit,Optimal_Profit,Profit_Increase_%
Cleats,Yes,-0.22373047636059387,4.626691875342602e-10,0.10159423291259012,6.242294665999551e-06,20.186522311718857,32.69869469236708,61.982803117030926
Shop By Sport,Yes,-0.38268145822334193,6.841909546362807e-27,0.10136198156427532,6.242294665999551e-06,12.1535269703764,20.168371256923695,65.9466532314699
Women's Apparel,No,0.0052369818838485785,0.9156839328964504,0.10166912338954125,0.0,16.419781033915346,31.634141224340723,92.65872765903424
Electronics,No,-0.0411172676768639,0.3330380588941621,0.10183776986248416,0.0,13.304851872277693,25.31162338337122,90.24355645861134
Cardio Equipment,Yes,0.04934517875976702,0.04577549117285274,0.10165051703924081,0.0,31.34626605232772,61.39555750402944,95.86242712780877
Trade-In,Yes,-0.3455767726890427,1.1270738053703785e-42,0.10243326540451744,6.242294665999551e-06,12.77446933244847,16.18876834481155,26.72752130446943
Baseball & Softball,Yes,-0.5053639321887666,1.5352534198382293e-22,0.10294303845094938,6.242294665999551e-06,22.177183803741674,29.665860406744358,33.767482243346045
Men's Footwear,No,0.0,,0.10168344920875663,0.0,13.985533061119057,27.203365183024303,94.51074953054108
Camping & Hiking,No,0.0,,0.1016811134727948,0.0,31.05334786584521,61.55564940390647,98.2254849616713
Cameras ,No,0.0,,0.10158783835304054,0.0,51.039053567369535,96.96082087997462,89.97378302085905
Girls' Apparel,No,0.025255631158010057,0.5399133168430832,0.10194005041715237,0.0,12.769614480456193,25.580194329410563,100.32080348675268
Accessories,No,-0.1906975753844014,0.24630215001041153,0.10383146122303372,0.0,8.961604221653776,16.758968311231662,87.00857454446877
Women's Clothing,No,0.0,,0.10204615434923076,0.0,29.32858952907975,51.352191305667674,75.092604623046
Golf Balls,No,0.04344654132891145,0.6587020407705754,0.10100339032542371,0.0,5.688828200516123,10.96511813042003,92.7482733513593
Children's Clothing,No,0.0,,0.10147239313496932,0.0,41.58464187024015,77.82043407771931,87.13743963588428
Fishing,No,0.0,,0.1016813857815873,0.0,43.5395311373706,84.21005294078515,93.41056447093077
Hockey,Yes,-0.3313241860307634,1.4877738930413436e-15,0.10055374641856676,6.242294665999551e-06,8.962358905092884,14.240919925991493,58.89700554057317
Video Games,No,0.0,,0.10208830599045346,0.0,3.2317513260274424,7.2897614891479705,125.56690641506584
Golf Gloves,Yes,-0.272491611728907,1.0222885382442827e-49,0.10226168269906542,6.242294665999551e-06,16.259305189723793,22.611749764695773,39.06959430829093
Golf Shoes,Yes,-1.0034601316855483,9.167035071905525e-17,0.1056106875667939,6.242294665999551e-06,23.999973249903864,34.087920074943845,42.033158620626345
Toys,No,0.0,,0.10168242015689981,0.0,1.6993448213867293,2.8727599459300563,69.05103130192118
Water Sports,No,0.0,,0.10168339818301159,0.0,20.87008694125157,41.24501029842469,97.62740047287622
Indoor/Outdoor Games,No,-0.0055036585165108886,0.914766552140557,0.10149290131604312,0.0,16.625218633186137,31.819144125798505,91.39083116948179
