Geo_Key,Order City,Order State,Order Country,Order Region,Market,Latitude,Longitude
Bekasi_Java Occidental_Indonesia,Bekasi,Java Occidental,Indonesia,Southeast Asia,Pacific Asia,18.2514534,-66.03705597
Bikaner_Rajastán_India,Bikaner,Rajastán,India,South Asia,Pacific Asia,18.27945137,-66.0370636
Townsville_Queensland_Australia,Townsville,Queensland,Australia,Oceania,Pacific Asia,34.12594605,-118.2910156
Toowoomba_Queensland_Australia,Toowoomba,Queensland,Australia,Oceania,Pacific Asia,43.01396942,-78.87906647
Guangzhou_Guangdong_China,Guangzhou,Guangdong,China,Eastern Asia,Pacific Asia,18.24253845,-66.03705597
Tokio_Tokio_Japón,Tokio,Tokio,Japón,Eastern Asia,Pacific Asia,18.28284454,-66.03705597
Manado_Célebes Septentrional_Indonesia,Manado,Célebes Septentrional,Indonesia,Southeast Asia,Pacific Asia,40.65486527,-73.58707428
Sangli_Maharashtra_India,Sangli,Maharashtra,India,South Asia,Pacific Asia,18.27843857,-66.03705597
Seúl_Seúl_Corea del Sur,Seúl,Seúl,Corea del Sur,Eastern Asia,Pacific Asia,18.3957901,-65.87288666
Jabalpur_Madhya Pradesh_India,Jabalpur,Madhya Pradesh,India,South Asia,Pacific Asia,33.89869309,-118.1745605
Geelong_Victoria_Australia,Geelong,Victoria,Australia,Oceania,Pacific Asia,38.61177445,-121.2828674
Brisbane_Queensland_Australia,Brisbane,Queensland,Australia,Oceania,Pacific Asia,45.78831101,-108.5594101
Mandurah_Australia Occidental_Australia,Mandurah,Australia Occidental,Australia,Oceania,Pacific Asia,18.26163292,-66.03705597
Guilin_Guangxi_China,Guilin,Guangxi,China,Eastern Asia,Pacific Asia,18.27022362,-66.0370636
Delhi_Delhi_India,Delhi,Delhi,India,South Asia,Pacific Asia,41.86544037,-88.10990143
Suzhou_Gansu_China,Suzhou,Gansu,China,Eastern Asia,Pacific Asia,42.39110184,-83.13121796
Singapur_Singapur_Singapur,Singapur,Singapur,Singapur,Southeast Asia,Pacific Asia,18.24074173,-66.03705597
Hubli_Karnataka_India,Hubli,Karnataka,India,South Asia,Pacific Asia,40.03171921,-76.87709808
Wollongong_Nueva Gales del Sur_Australia,Wollongong,Nueva Gales del Sur,Australia,Oceania,Pacific Asia,32.81010819,-96.68649292
Medan_Sumatra Septentrional_Indonesia,Medan,Sumatra Septentrional,Indonesia,Southeast Asia,Pacific Asia,33.81632614,-84.44550324
Canberra_Territorio de la Capital Australiana_Australia,Canberra,Territorio de la Capital Australiana,Australia,Oceania,Pacific Asia,37.49027634,-121.9271088
Bangalore_Karnataka_India,Bangalore,Karnataka,India,South Asia,Pacific Asia,18.26469612,-66.03705597
Yiwu_Zhejiang_China,Yiwu,Zhejiang,China,Eastern Asia,Pacific Asia,32.753685,-96.86553955
